source_path,target_path,city_id,origin_img,pixel_loc_x,pixel_loc_y,A11,A12,tx,A21,A22,ty
../Cities/origin/@CITY_1@seg670850 (2)@2289@1799@.png,../Cities/origin/@CITY_1@seg670850 (3)@2289@1799@.png,CITY_1,seg670850,2289,1799,1.0967457,0.057634242,5.9570665,-0.057634242,1.0967457,1.0747045
../Cities/origin/@CITY_1@seg670850 (2)@595@4035@.png,../Cities/origin/@CITY_1@seg670850 (3)@595@4035@.png,CITY_1,seg670850,595,4035,0.9371591,-0.10129717,-4.8439226,0.10129717,0.9371591,-1.013176
../Cities/origin/@CITY_1@seg670850 (2)@3367@3029@.png,../Cities/origin/@CITY_1@seg670850 (3)@3367@3029@.png,CITY_1,seg670850,3367,3029,0.99810255,0.20634522,-7.7362967,-0.20634522,0.99810255,1.9929137
../Cities/origin/@CITY_1@seg670850 (2)@1051@1378@.png,../Cities/origin/@CITY_1@seg670850 (3)@1051@1378@.png,CITY_1,seg670850,1051,1378,1.0905778,-0.2113703,2.9191632,0.2113703,1.0905778,3.294512
../Cities/origin/@CITY_1@seg670850 (2)@5@2172@.png,../Cities/origin/@CITY_1@seg670850 (3)@5@2172@.png,CITY_1,seg670850,5,2172,1.082637,0.18709219,9.209112,-0.18709219,1.082637,-4.3816366
../Cities/origin/@CITY_1@seg670850 (2)@1879@3952@.png,../Cities/origin/@CITY_1@seg670850 (3)@1879@3952@.png,CITY_1,seg670850,1879,3952,1.0684249,0.08855844,6.78381,-0.08855844,1.0684249,5.7224617
../Cities/origin/@CITY_1@seg670850 (2)@1653@1563@.png,../Cities/origin/@CITY_1@seg670850 (3)@1653@1563@.png,CITY_1,seg670850,1653,1563,1.1055273,-0.16000015,1.7146189,0.16000015,1.1055273,2.6660955
../Cities/origin/@CITY_1@seg670850 (2)@668@4174@.png,../Cities/origin/@CITY_1@seg670850 (3)@668@4174@.png,CITY_1,seg670850,668,4174,0.8167612,0.16128063,-6.266476,-0.16128063,0.8167612,-8.540875
../Cities/origin/@CITY_1@seg670850 (2)@2694@698@.png,../Cities/origin/@CITY_1@seg670850 (3)@2694@698@.png,CITY_1,seg670850,2694,698,1.1064061,-0.27897996,-8.746991,0.27897996,1.1064061,3.7070858
../Cities/origin/@CITY_1@seg670850 (2)@3587@4198@.png,../Cities/origin/@CITY_1@seg670850 (3)@3587@4198@.png,CITY_1,seg670850,3587,4198,0.80577326,0.084264226,-5.741394,-0.084264226,0.80577326,2.3029594
../Cities/origin/@CITY_1@seg670850 (2)@3683@3617@.png,../Cities/origin/@CITY_1@seg670850 (3)@3683@3617@.png,CITY_1,seg670850,3683,3617,0.81183136,-0.08068228,-4.2805357,0.08068228,0.81183136,-1.329791
../Cities/origin/@CITY_1@seg670850 (2)@588@1044@.png,../Cities/origin/@CITY_1@seg670850 (3)@588@1044@.png,CITY_1,seg670850,588,1044,0.99254006,0.16016985,-2.2635128,-0.16016985,0.99254006,8.956802
../Cities/origin/@CITY_1@seg670850 (2)@442@738@.png,../Cities/origin/@CITY_1@seg670850 (3)@442@738@.png,CITY_1,seg670850,442,738,1.1033809,-0.14427102,0.8374438,0.14427102,1.1033809,-8.76556
